event,sex,speed
Speed One,Male,211.67
Speed One,Male,209.7
Speed One,Male,209.69
Speed One,Male,209.67
Speed One,Male,209.19
Speed One,Male,208.33
Speed One,Male,208.03
Speed One,Male,207.59
Speed One,Male,207.47
Speed One,Male,206.8
Speed One,Male,205.33
Speed One,Male,205.15
Speed One,Male,204.27
Speed One,Male,204.24
Speed Downhill,Male,192.86
Speed Downhill,Male,191.84
Speed Downhill,Male,191.28
Speed Downhill,Male,191.03
Speed Downhill,Male,189.77
Speed Downhill,Male,188.94
Speed Downhill,Male,188.38
Speed Downhill,Male,188.29
Speed One,Male,194.69
Speed One,Male,191.8
Speed One,Male,191.29
Speed One,Male,191.14
Speed One,Male,190.84
Speed One,Male,190.75
Speed One,Male,190.72
Speed One,Male,190.45
Speed One,Male,190.12
Speed One,Male,189.73
Speed One,Male,189.56
Speed Downhill,Male,178.44
Speed Downhill,Male,178.43
Speed Downhill,Male,177.61
Speed Downhill,Male,176.24
Speed Downhill,Male,176.01
Speed Downhill,Male,174.65
Speed Downhill,Male,174.17
Speed Downhill Junior,Male,172.7
Speed Downhill Junior,Male,171.84
Speed Downhill Junior,Male,170.35
Speed Downhill Junior,Male,168.01
Speed Downhill Junior,Male,167.93
Speed Downhill Junior,Male,166.71
Speed Downhill Junior,Male,166.67
Speed Downhill Junior,Male,166.27
Speed Downhill Junior,Male,165.98
Speed Downhill Junior,Male,165.5
Speed Downhill Junior,Male,164.47
Speed One,Male,184.55
Speed One,Male,183.91
Speed One,Male,183.82
Speed One,Male,183.74
Speed One,Male,183.56
Speed One,Male,183.13
Speed One,Male,182.15
Speed One,Male,181.69
Speed One,Male,181.2
Speed One,Male,181.08
Speed One,Male,179.84
Speed Downhill,Male,174.24
Speed One,Male,174.14
Speed Downhill,Male,172.85
Speed Downhill,Male,172.83
Speed Downhill,Male,172.45
Speed Downhill,Male,172.44
Speed Downhill,Male,172.15
Speed Downhill,Male,171.71
Speed Downhill,Male,171.65
Speed Downhill,Male,170.75
Speed One,Male,170.3
Speed Downhill,Male,169
Speed Downhill,Male,168.86
Speed Downhill,Male,165.42
Speed Downhill,Male,164.32
Speed One,Male,177.47
Speed Downhill,Male,167.85
Speed One,Female,204.05
Speed One,Female,203.13
Speed One,Female,202.7
Speed One,Female,201.51
Speed One,Female,200.48
Speed One,Female,199.35
Speed One,Female,197.34
Speed Downhill Junior,Female,167.94
Speed Downhill Junior,Female,166.52
Speed Downhill Junior,Female,162.37
Speed Downhill Junior,Female,161.82
Speed Downhill Junior,Female,160.22
