observN,cycleN,direction,inputPSI,readingPSI
1,1,up,15,15.75
2,1,up,18,19
3,1,up,21,23.5
4,1,up,24,27.5
5,1,up,27,32.5
6,1,dn,24,29.75
7,1,dn,21,25.25
8,1,dn,18,21.5
9,1,dn,15,18
10,1,dn,12,13.25
11,1,dn,9,9.5
12,1,dn,6,6.5
13,1,dn,3,3
14,2,up,6,4.25
15,2,up,9,7
16,2,up,12,10.75
17,2,up,15,15
18,2,up,18,19
19,2,up,21,23
20,2,up,24,28.25
21,2,up,27,32
22,2,dn,24,30.75
23,2,dn,21,26
24,2,dn,18,21.75
25,2,dn,15,17.25
26,2,dn,12,13.5
27,2,dn,9,10.25
28,2,dn,6,6.5
29,2,dn,3,3.75
30,3,up,6,4.75
31,3,up,9,7.5
32,3,up,12,11.5
33,3,up,15,14.75
34,3,up,18,19.5
35,3,up,21,23.25
36,3,up,24,27.75
37,3,up,27,33
38,3,dn,24,30.5
39,3,dn,21,25.25
40,3,dn,18,22
41,3,dn,15,18
42,3,dn,12,13.5
43,3,dn,9,10.25
44,3,dn,6,6.75
45,3,dn,3,3.75
46,4,up,6,3.75
47,4,up,9,7.5
48,4,up,12,10.75
49,4,up,15,14.75
50,4,up,18,19.75
51,4,up,21,23.75
52,4,up,24,27.5
53,4,up,27,32.75
54,4,dn,24,30.25
55,4,dn,21,25.25
56,4,dn,18,21.25
57,4,dn,15,18
58,4,dn,12,13.75
59,4,dn,9,9.75
60,4,dn,6,7
61,4,dn,3,3.75
62,5,up,6,3.75
63,5,up,9,7.5
64,5,up,12,11.5
65,5,up,15,15.5
66,5,up,18,18.75
67,5,up,21,23.75
68,5,up,24,27.5
69,5,up,27,32.25
70,5,dn,24,30.25
71,5,dn,21,25.5
72,5,dn,18,22
73,5,dn,15,17.75
74,5,dn,12,13.5
75,5,dn,9,9.5
76,5,dn,6,6.75
77,5,dn,3,2.75
78,6,up,6,4.25
79,6,up,9,7.5
80,6,up,12,11.25
81,6,up,15,15.25
