inputPSI,direction,cycle1,cycle2,cycle3,cycle4,cycle5,cycle6
6,up,NA,4.25,4.75,3.75,3.75,4.25
9,up,NA,7,7.5,7.5,7.5,7.5
12,up,NA,10.75,11.5,10.75,11.5,11.25
15,up,15.75,15,14.75,14.75,15.5,15.25
18,up,19,19,19.5,19.75,18.75,NA
21,up,23.5,23,23.25,23.75,23.75,NA
24,up,27.5,28.25,27.75,27.5,27.5,NA
27,up,32.5,32,33,32.75,32.25,NA
24,dn,29.75,30.75,30.5,30.25,30.25,NA
21,dn,25.25,26,25.25,25.25,25.5,NA
18,dn,21.5,21.75,22,21.25,22,NA
15,dn,18,17.25,18,18,17.75,NA
12,dn,13.25,13.5,13.5,13.75,13.5,NA
9,dn,9.5,10.25,10.25,9.75,9.5,NA
6,dn,6.5,6.5,6.75,7,6.75,NA
3,dn,3,3.75,3.75,3.75,2.75,NA
